,smiles,prediction_neglogld50,actual_neglogld50,prediction_epa,actual_epa,prediction_epa_from_neglog
0,B12B3B4B1C234,1.7567976,1.302912431,2,2,2
1,Br/C=C/c1ccccc1,2.0178206,2.166,2,2,2
2,BrC(Br)(Br)c1ccc2ccccc2n1,2.4778345,1.749118485,2,3,2
3,BrC(Br)Br,2.4327934,2.343095098,2,2,2
4,BrC(Br)C(Br)Br,2.2381127,2.459460341,2,2,2
5,BrC/C=C/CBr,2.568257,3.537819095,2,1,2
6,BrC1(Br)C2CCC1CC2,1.78748,3.0825545739999995,2,1,2
7,BrC12CC3CC(CC(C3)C1)C2,1.5631322,1.404620592,3,3,3
8,BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1,2.0689654,1.807288612,3,3,3
9,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,2.4734125,1.807332039,2,3,2
10,BrC1CCCCCC1(Br)C1CCCCCC1,1.7170339,3.2245133310000003,3,1,3
11,BrC=CBr,2.435254,3.200967356,2,1,2
12,BrC=Cc1ccccc1,1.7190536,2.165654975,2,2,2
13,BrCBr,2.355324,3.206713466,2,1,2
14,BrCC(Br)C1CCC(Br)C(Br)C1,1.8018229,2.123384909,3,2,3
15,BrCC=CCBr,1.9340383,3.537819095,2,1,2
16,BrCCBr,1.9158144,3.213141101,2,1,2
17,BrCCCCCCBr,1.5331696,1.843268382,3,2,3
18,BrCCc1ccccc1,1.446215,2.098235587,3,2,3
19,BrCc1cccc(Oc2ccccc2)c1,2.045778,2.053567257,2,2,2
20,Brc1c(Br)c(Br)c(-c2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,4.258005,2.099529636,1,3,1
21,Brc1c(Br)c(Br)c(CCc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,4.154646,2.191370801,1,3,1
22,Brc1c(Br)c(Br)c(OCCOc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,3.0862808,2.001354486,2,3,2
23,Brc1cc(Br)c(Oc2nc(Oc3c(Br)cc(Br)cc3Br)nc(Oc3c(Br)cc(Br)cc3Br)n2)c(Br)c1,3.182062,2.484272581,2,2,2
24,Brc1cc2c(cc1Br)Oc1cc(Br)c(Br)cc1O2,2.40863,6.698777135,2,0,2
25,Brc1ccc(-c2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,2.4465435,1.917356232,2,3,2
26,Brc1ccc(CNC2=NCCS2)cc1,2.633762,3.530172474,2,1,2
27,Brc1ccc(N/C(=N/C2CCCCC2)c2ccccc2)cc1,2.3274856,2.008958894,2,2,2
28,Brc1ccc2[nH]cc(CC3CCNCC3)c2c1,1.9691552,4.069235807,2,0,2
29,Brc1ccccc1,1.7435908,1.725222884,2,2,2
30,Brc1cnc2[nH]ccc2c1,2.7216606,1.855052788,1,2,1
31,Brc1cnc[nH]1,2.828882,2.76930346,1,1,1
32,Brc1nc(Br)c(Br)[nH]1,3.018554,3.952489023,1,0,1
33,Brc1nc[nH]c1Br,1.8656478,2.65489047,2,2,2
34,C,1.5429683,0.661217539,1,2,1
35,C#CC(=NOCC1OCCO1)c1ccccc1,1.844772,1.489022356,2,3,2
36,C#CC(=O)/C=C/C,1.3589797,3.122,2,1,2
37,C#CC(=O)C=CC,2.083557,3.122391269,2,1,2
38,C#CC(=O)O,2.5264883,2.84538954,1,1,1
39,C#CC(C)(C)C,2.180741,1.47509583,2,2,2
40,C#CC(C)(C)N,2.3196907,1.752461342,1,2,1
41,C#CC(C)(C)NC(=O)/C=C/c1cc(OC)c(OC)c(OC)c1,2.6602972,2.7260000000000004,2,2,2
42,C#CC(C)(C)NC(=O)C=Cc1cc(OC)c(OC)c(OC)c1,2.1169379,2.726080597,2,2,2
43,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,2.6215608,1.592222541,2,3,2
44,C#CC(C)(C)O,2.1143317,1.736804565,2,2,2
45,C#CC(C)(CCC=C(C)C)OC(C)=O,2.536895,1.305329909,2,3,2
46,C#CC(C)(O)C(O)c1ccccc1,1.5338744,2.382720014,3,2,3
47,C#CC(C)N(C(=O)CCl)c1ccccc1,2.2885396,2.277554365,2,2,2
48,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,2.453802,2.121106342,2,2,2
49,C#CC(C)OC(=O)Nc1cccc(Cl)c1,2.436701,1.973009422,2,2,2
50,C#CC(O)/C=C/C,1.6140245,3.451,2,0,2
51,C#CC(O)C=CC,1.5414644,3.451375507,2,0,2
52,C#CC(O)CCC,1.5628717,2.891497634,2,1,2
53,C#CC(OC(=O)C1C(C=C(C)C)C1(C)C)/C(C)=C/CC,1.7419986,2.213081156,2,2,2
54,C#CC(OC(=O)C1C(C=C(C)C)C1(C)C)C(C)=CCC,1.96636,2.213081156,2,2,2
55,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,1.8102881,1.950716655,2,2,2
56,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,2.0327113,1.794946973,2,3,2
57,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,2.6918645,1.528182736,2,3,2
58,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,2.2540786,2.414988,2,2,2
59,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.9554156,1.491973478,2,3,2
60,C#CC1(O)CCCCC1,1.5222173,2.33,2,2,2
61,C#CC1(OC(C)=O)CCCCC1C(C)CC,1.744844,2.5144852490000003,2,2,2
62,C#CC1(OC(N)=O)CCCCC1,2.5596159,2.703429058,1,1,1
63,C#CCBr,2.4657886,3.351128737,1,1,1
64,C#CCC(O[Si](CC)(CC)CC)[Si](CC)(CC)CC,1.7828636,2.035626846,2,2,2
65,C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,2.6420314,2.814939205,2,1,2
66,C#CCC1=C(C)C(OC(=O)[C@H]2[C@H](C=C(C)C)C2(C)C)CC1=O,2.5369017,2.814939205,2,1,2
67,C#CCC1=C(C)[C@H](OC(=O)[C@H]2[C@H](C=C(C)C)C2(C)C)CC1=O,2.138181,2.815,2,1,2
68,C#CCCC#CC#CCCCCO,2.4497144,2.843215331,2,1,2
69,C#CCCCC#C,1.8030665,1.602725085,2,2,2
70,C#CCCl,2.3105688,2.654730619,1,1,1
71,C#CCN(C(C)=O)C(=O)Oc1cccc2c1OC(C)(C)O2,2.7281802,2.461328918,2,2,2
72,C#CCN(C)C(C)Cc1ccccc1,2.130774,2.687044585,2,1,2
73,C#CCN(C)C1CCc2ccccc21,2.4692094,2.869865093,2,1,2
74,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,2.2036438,3.112628937,2,1,2
75,C#CCN(C)Cc1ccccc1,1.5131571,2.724909095,2,1,2
76,C#CCN(C)c1ccccc1O/C(O)=N/C,2.4237974,3.5608149410000003,2,1,2
77,C#CCN(CC)CC,1.7134732,1.955,2,2,2
78,C#CCN1C(=O)CCc2c(OCCCN3CCC(Cc4ccccc4)CC3)cccc21,2.6690662,2.619682778,2,2,2
79,C#CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,2.5271063,1.724783928,2,3,2
80,C#CCN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,1.9512824,2.561722014,2,2,2
81,C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,2.3504374,1.67435524,2,3,2
82,C#CCN1CC(=O)N(COC(=O)C2C(C=C(C)C)C2(C)C)C1=O,2.0766284,2.212901618,2,2,2
83,C#CCN1CCC2=C(C1)c1c(O)cc(C(C)C(C)CCCCC)cc1OC2(C)C,2.328326,2.642999502,2,2,2
84,C#CCN1CCC2=C(C1)c1c(OC(=O)CCCN3CCCCC3)cc(C(C)C(C)CCCCC)cc1OC2(C)C,2.6224232,3.625480247,2,1,2
85,C#CCNC(=O)Oc1cccc2c1OC(C)(C)O2,2.675545,3.420008447,2,1,2
86,C#CCO,1.4221693,2.856589477,2,1,2
87,C#CCO/N=C1\CC2CCC1(C)C2(C)C,2.6096501,2.166,2,2,2
88,C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,1.9561034,1.7513733830000002,2,2,2
89,C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,2.8207772,2.19437684,2,2,2
90,C#CCOC(=O)C=C(C)C=CCC(C)CCCC(C)C,2.537378,1.7513733830000002,2,2,2
91,C#CCOC(=O)CCCCC(=O)OCC#C,1.8486549,3.045792233,2,1,2
92,C#CCOC(=O)Nc1nc(N2CC=CCC2)cc2nc(=O)on12,2.6350255,1.623647556,2,3,2
93,C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,2.6288714,2.400112279,2,2,2
94,C#CCOC(C)=O,1.6226348,2.593733426,2,1,2
95,C#CCOCC#C,1.5154746,2.242060852,2,2,2
96,C#CCON=CC1=CCCN(C)C1,2.7845376,2.949962995,1,1,1
97,C#CCON=CC1=CCCNC1,2.734939,3.312304325,1,1,1
98,C#CCOP(=O)(OCC(C)C)c1ccccc1,2.2580202,2.623679925,2,2,2
99,C#CCOP(=O)(OCCC)c1ccccc1,2.194593,2.818275119,2,1,2
100,C#CCOS(=O)OC(CC)COc1ccc(C(C)(C)CC)cc1,2.4135041,1.985450854,2,2,2
101,C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,2.4792962,2.110254033,2,2,2
102,C#CCOc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,2.6231003,1.6579401219999998,2,3,2
103,C#CCOc1cc(-n2nc3n(c2=O)CCCC3)c(Cl)cc1Cl,2.3444853,1.654104635,2,3,2
104,C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC,2.129249,1.739714713,2,3,2
105,C#CCOc1ccc(N)cc1C(=O)NCCCC,2.1257567,2.454968302,2,2,2
106,C#CCOc1cccc(O/C(O)=N/C)c1,2.0594318,3.13611361,2,1,2
107,C#CCOc1ccccc1OC(=O)NC,2.0731783,3.534053619,2,1,2
108,C#CCSP(=O)(/N=C(\O)CC)OC,3.102901,2.645850457,1,2,1
109,C#CCSP(=O)(OCC)OCC,3.0162587,4.063247851,1,0,1
110,C#CCc1cc(COC(=O)C2C(C=C(C)C)C2(C)C)c(C)o1,1.7988781,1.47765361,2,3,2
111,C#CCc1ccc(COC(=O)C2C(C=C(C)C)C2(C)C)o1,2.3449597,1.456929036,2,3,2
112,C#C[C@]1(O)CCC2C3CCc4cc(O)ccc4C3CC[C@@]21C,2.2540786,2.49,2,2,2
113,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,2.1605313,1.297777242,2,3,2
114,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,2.4085157,1.491973478,2,3,2
115,C#N,1.7693605,3.431781772,1,0,1
116,C#[SiH+],1.6235167,1.080348136,2,2,2
117,C#[SiH],1.9311459,1.323169092,1,2,1
118,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,2.5345962,1.75355242,2,3,2
119,C(=CNc1ccccc1)C=Nc1ccccc1,1.8625456,2.293843436,2,2,2
120,C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,2.1639345,1.75355242,2,3,2
121,C(=N/C(/N=C/c1ccco1)c1ccco1)\c1ccco1,2.4534326,2.827,2,1,2
122,C(=N/C1CCCCC1)\c1ccccc1,1.5111017,1.784,3,2,3
123,C(=N/CCCCCC/N=C/c1ccco1)\c1ccco1,1.7572163,2.745,2,1,2
124,C(=N/N=C/c1ccccc1)\c1ccccc1,2.21183,1.318614205,2,3,2
